area_sqft,bhk,location,price,price_unit,property_type,scraped_at,title,url
2100,3,New Delhi,7.50,Cr,Apartment,2026-02-19T16:41:30.183942,"3 BHK Builder Floor For Sale inHauz Khas, New Delhi",https://www.magicbricks.com/propertyDetails/3-BHK-2100-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Hauz-Khas-in-New-Delhi&id=4d423738363338313133
893,2,Mumbai,4.70,Cr,Apartment,2026-02-19T16:41:34.693117,"2 BHK  1500 Sq-ft  Flat  For SaleWorli, Mumbai",https://www.magicbricks.com/propertyDetails/2-BHK-1500-Sq-ft-Multistorey-Apartment-FOR-Sale-Worli-in-Mumbai&id=4d423832303330393037
1314,2,Bangalore,90.0,Lac,Apartment,2026-02-19T16:41:35.459305,"2 BHK Flat For Sale inLotus HillVarthur, Bangalore",https://www.magicbricks.com/propertyDetails/2-BHK-1314-Sq-ft-Multistorey-Apartment-FOR-Sale-Varthur-in-Bangalore&id=4d423832343738313733
1700,3,New Delhi,3.30,Cr,Apartment,2026-02-19T16:41:36.821630,"3 BHK Flat For Sale inDDA Flats Vasant KunjVasant Kunj, New Delhi",https://www.magicbricks.com/propertyDetails/3-BHK-1700-Sq-ft-Multistorey-Apartment-FOR-Sale-Vasant-Kunj-in-New-Delhi&id=4d423738323539363231
1156,3,Bangalore,2.35,Cr,Villa,2026-02-19T16:41:39.377194,"3 BHK  For Sale inBidaraguppe, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-1853-Sq-ft-Villa-FOR-Sale-Bidaraguppe-in-Bangalore&id=4d423831393839363035
627,2,Mumbai,1.88,Cr,Apartment,2026-02-19T16:41:39.793354,"2 BHK Flat For Sale inMulund West, Mumbai",https://www.magicbricks.com/propertyDetails/2-BHK-627-Sq-ft-Multistorey-Apartment-FOR-Sale-Mulund-West-in-Mumbai&id=4d423833303837373939
2304,3,Noida,3.35,Cr,Apartment,2026-02-19T16:41:41.543260,"3 BHK Flat For Sale inIvory CountySector 115, Noida",https://www.magicbricks.com/propertyDetails/3-BHK-2304-Sq-ft-Multistorey-Apartment-FOR-Sale-Sector-115-in-Noida&id=4d423734393338393633
2220,3,Bangalore,3.25,Cr,Apartment,2026-02-19T16:41:44.307192,"3 BHK Flat  For Sale in Klassik Landmark,Haralur, Bangalore",https://www.magicbricks.com/propertyDetails/3-BHK-2220-Sq-ft-Multistorey-Apartment-FOR-Sale-Haralur-in-Bangalore&id=4d423832343738343739
1255,3,Mumbai,5.50,Cr,Apartment,2026-02-19T16:41:44.483958,"3 BHK  1570 Sq-ft  Flat  For SaleGoregaon East, Mumbai",https://www.magicbricks.com/propertyDetails/3-BHK-1570-Sq-ft-Multistorey-Apartment-FOR-Sale-Goregaon-East-in-Mumbai&id=4d423833323933393533
1300,3,New Delhi,2.65,Cr,Apartment,2026-02-19T16:41:45.705721,"3 BHK  1700 Sq-ft  Flat  For SaleDwarka, New Delhi",https://www.magicbricks.com/propertyDetails/3-BHK-1700-Sq-ft-Multistorey-Apartment-FOR-Sale-Dwarka-in-New-Delhi&id=4d423731383839323531
